,ExponentialMovingAverage,WeightedMovingAverage,StochasticSlow,MACDHisto,RSI,SmoothedMovingAverage,ATR,time,value
2927,10.63315065615662,10.403815384615385,50.34524684510303,-0.30973732523309927,52.17524215596623,39.60668537454998,0.41226089356870416,2011-06-21,9771930.0
2928,10.645215990298418,10.417138461538462,68.07664430426816,-0.25148045380837125,51.690263436557615,40.81504318075075,0.4120994011709396,2011-06-22,9771930.0
2929,10.659430144890848,10.434615384615384,84.56755228942905,-0.1997808485176762,52.32655789203587,41.96619465187926,0.4219494439444439,2011-06-23,9771930.0
2930,10.680243210668475,10.46113846153846,82.06896551724138,-0.14902154695353964,53.95920010765346,43.165495197456686,0.4139530550912693,2011-06-24,9771930.0
2931,10.697916809847824,10.4872,84.82758620689658,-0.1091500537400023,53.56410374306526,44.20535605201754,0.4036706940133216,2011-06-27,9771930.0
2932,10.725000132167223,10.523630769230769,89.88505747126442,-0.0654997379317912,55.99317518635079,45.38413796545086,0.3869799301552272,2011-06-28,9771930.0
2933,10.780769352769743,10.5904,90.82433530709396,0.001354495113750076,62.094272248094896,47.05515139371526,0.40290993514413964,2011-06-29,9771930.0
2934,10.826864017941302,10.650184615384616,90.33172446965553,0.04813368630198234,60.51316794280491,48.40095304862423,0.4012735112052725,2011-06-30,9771930.0
2935,10.83479755502274,10.674676923076923,77.86768326621352,0.04833808183348154,51.44443631675448,48.70530137543726,0.4197539746906102,2011-07-01,9771930.0
2936,10.843659281559454,10.701353846153847,67.58728364155161,0.04954280104666431,51.79024330495261,49.013795568388794,0.40977154792699516,2011-07-05,9771930.0
2937,10.881839336824113,10.759076923076922,66.3023679417122,0.08103319016187527,58.062409213520006,49.91865693290192,0.41121643736078134,2011-07-06,9771930.0
2938,10.964774772453028,10.865169230769231,79.80558343556002,0.15424038174602117,65.70190020913915,51.496981260525644,0.42755812040643987,2011-07-07,9771930.0
2939,11.013638251495104,10.940184615384615,86.82205122486153,0.18112076966242263,58.98320683742365,52.24560381821544,0.4305896832345514,2011-07-08,9771930.0
2940,11.023358385995483,10.976369230769231,76.53061224489795,0.16342169159507236,51.707129097221035,52.19175634611601,0.4391189915749405,2011-07-11,9771930.0
2941,11.020023125534292,10.998646153846154,57.02947845804988,0.1349290043161524,49.423380812825606,51.91491879278696,0.4298962064624447,2011-07-12,9771930.0
2942,11.044636731262425,11.046584615384615,50.79365079365078,0.13978597007407778,54.312823190698204,52.15470923257809,0.42633219171512715,2011-07-13,9771930.0
2943,11.068126213473008,11.091846153846154,51.054067460317434,0.1427960034163398,54.44456750869753,52.383695060190036,0.4215941780211895,2011-07-14,9771930.0
2944,11.099808812436622,11.142646153846155,57.874503968253954,0.1538973571355875,56.21230468202112,52.766556022373145,0.40933745101967595,2011-07-15,9771930.0
2945,11.103669673018421,11.164061538461539,44.95563271604939,0.13451639657789727,50.821200648672345,52.572020485003065,0.41224191880398486,2011-07-18,9771930.0
2946,11.115695082786235,11.190276923076924,39.13966049382716,0.12657386170702445,52.45796995336458,52.560615431839224,0.40422463888941457,2011-07-19,9771930.0
2947,11.14756469180268,11.232738461538462,38.27160493827156,0.14044710234429658,56.302326241498925,52.934786512805196,0.4053514503973135,2011-07-20,9771930.0
