,ExponentialMovingAverage,WeightedMovingAverage,StochasticSlow,MACDHisto,RSI,SmoothedMovingAverage,ATR,time,value,AO,WilliamR
2455,35.65908892079624,35.83003076923077,33.57658584318051,-0.2039929537427838,40.27279277660327,49.146113725418395,1.2298639787779206,2021-12-15,1028232.8649999995,-0.838872058823533,-80.27522935779818
2456,35.597620542273454,35.733261538461534,32.639763346725005,-0.2366641362263806,45.00627570250782,48.73212992312734,1.2091594088652122,2021-12-16,1028232.8649999995,-0.7879308823529456,-65.59633027522935
2457,35.51626511594473,35.61606153846154,27.06422018348624,-0.28509125485339837,43.16428332347415,48.17534526316202,1.1977908796605548,2021-12-17,1028232.8649999995,-0.9182249999999925,-72.93577981651377
2458,35.37193703010283,35.43483076923077,22.629969418960254,-0.391578698166839,38.403652555361845,47.198175992382005,1.1890201025419436,2021-12-20,1028232.8649999995,-1.129651470588236,-93.57798165137612
2459,35.28178802778723,35.30495384615385,17.584097859327255,-0.4258742312680539,42.64261445178567,46.742619838322376,1.1726615237889477,2021-12-21,1028232.8649999995,-1.4193867647058838,-80.73394495412836
2460,35.19857356411129,35.182307692307695,14.984709480122389,-0.44789068334144844,42.64261445178567,46.33261929966871,1.1367571292325946,2021-12-22,1028232.8649999995,-1.4635044117647027,-80.73394495412836
2461,35.15252944379504,35.098861538461534,22.3241590214068,-0.4281270411386515,45.736159275696515,46.27297329727149,1.121274477144552,2021-12-23,1028232.8649999995,-1.4647691176470659,-71.55963302752289
2462,35.141565640426194,35.05356923076923,28.78270273367283,-0.37505721273317505,48.78525215339588,46.52420118288393,1.0829691573485125,2021-12-27,1028232.8649999995,-1.3973132352941278,-61.35831381733027
2463,35.169137514239566,35.04996923076923,42.2306936701,-0.29011581198548697,52.23929529011215,47.09571059360675,1.0677570746807616,2021-12-28,1028232.8649999995,-1.109107352941173,-40.38997214484684
2464,35.1899730900673,35.04390769230769,57.87134429280086,-0.22504644317193367,51.778800672065685,47.56401960145264,1.0293458550607073,2021-12-29,1079825.1049999995,-0.8475735294117683,-24.637681159420296
2465,35.225359775446734,35.061107692307694,72.4232994949367,-0.1547493998772964,53.329482140208526,48.140565855328234,0.9922497225563709,2021-12-30,1134043.9049999996,-0.6086617647058858,-17.702448210922785
2466,35.31187056195083,35.13793846153846,82.55849041789396,-0.04206938704101759,58.159461582372764,49.14245542803268,1.0092318852309161,2021-12-31,845535.6349999995,-0.33707352941176794,-9.984399375975054
2467,35.42403436487769,35.25070769230769,88.08213100835441,0.08019637101634913,60.782012335851114,50.30641111881453,0.9928581791429937,2022-01-03,760985.5349999996,0.04610294117647129,-8.066759388038921
2468,35.60141633681018,35.43683076923077,91.65652032475434,0.25165590942579286,66.02409951379721,51.8781799583128,1.013368309204208,2022-01-04,760985.5349999996,0.4462058823529418,-6.979280261723026
2469,35.78823046474786,35.640892307692305,90.04062359933307,0.4070540559354612,67.4866644738979,53.43902840987131,1.0191991442610508,2022-01-05,847218.5549999996,0.9742941176470552,-14.83208955223884
2470,35.96221273669033,35.83590769230769,87.90989165405249,0.5257613894580189,67.58683939152336,54.85380950803652,1.0138992053852616,2022-01-06,847218.5549999996,1.4596470588235277,-14.458955223880704
2471,36.12050406463723,36.01910769230769,85.23009950248752,0.6103809654149188,67.25212113773597,56.09364067100647,0.9843349764291716,2022-01-07,847218.5549999996,1.7941617647058905,-15.018656716417906
2472,36.28892682889591,36.21827692307693,86.84402912691631,0.6928563486812536,68.85769201255579,57.3700458051614,0.9583110495413735,2022-01-10,847218.5549999996,2.0264852941176414,-9.990300678952481
2473,36.435163226673154,36.401723076923076,87.24013506535368,0.7400053657852936,67.38544613893532,58.37158583853879,0.959860260288418,2022-01-11,847218.5549999996,2.1207205882352937,-13.27063740856854
2474,36.519381440005986,36.530523076923075,82.85208483771062,0.7158627966698177,59.810915807007966,58.51551883538571,0.9748702416963884,2022-01-12,847218.5549999996,2.037102941176471,-28.182807399347116
2475,36.73865979077476,36.79858461538462,85.7821850640281,0.8355703246087529,69.9516395573931,59.65913090758645,1.0409509387180749,2022-01-13,933516.7149999996,2.094544117647054,-1.2000000000000455
2476,37.0741474991767,37.18972307692307,89.38627540825355,1.0578418029129537,76.06642676572798,61.2998604934006,1.1273115859524983,2022-01-14,850336.6849999996,2.4285735294117643,-2.4583663758921674
2477,37.423059230009265,37.60058461538462,96.91230462003199,1.2606147069642475,77.51883322597283,62.92175776665782,1.150360758384463,2022-01-18,765341.8849999995,2.9146617647058832,-5.604719764011836
2478,37.6943623661624,37.94,92.14588633885963,1.3524668146173795,71.47396359846469,63.77697834983851,1.1639064184998582,2022-01-19,765341.8849999995,3.351544117647059,-15.499254843517123
2479,37.773257568765295,38.09003076923077,76.32412042344454,1.2311262515009602,55.676219896622726,62.96690250451693,1.2436273886070115,2022-01-20,727253.3649999995,3.592941176470582,-49.923664122137424
2480,37.85223775578335,38.23590769230769,59.570060286404676,1.1284106963356706,56.0515047309327,62.27536272715851,1.226939717992225,2022-01-21,690998.5749999995,3.5354264705882414,-55.86690017513142
2481,37.97514254380002,38.417692307692306,47.73513987949139,1.0869280169744187,59.08286460138115,61.95611291458077,1.2385868809927798,2022-01-24,656938.2749999994,3.2216911764705856,-51.00401606425697
2482,38.04167004043079,38.53843076923077,41.84417241233552,0.993379729532144,55.232603648696674,61.283761987992364,1.2815449609218668,2022-01-25,624307.2349999994,2.6434558823529386,-67.59656652360508
2483,38.090772345013036,38.63363076923077,36.78979149789435,0.8960028122536414,54.234266519477096,60.57881244114083,1.2961060351417337,2022-01-26,593118.7149999994,2.148769411764711,-71.03004291845492
2484,38.134559087704346,38.711784615384616,29.971387696709595,0.8079040558416608,54.10262443937276,59.931193640964025,1.3081698897744674,2022-01-27,563489.8349999994,1.900401764705876,-71.45922746781122
2485,38.1549776194194,38.75621538461539,26.824034334763926,0.7089331890705495,52.32453192852203,59.17052746971983,1.305443469076291,2022-01-28,535702.0749999994,1.636372352941173,-77.03862660944208
2486,38.14228703331021,38.75618461538462,24.150254174512416,0.5906063482775679,49.558547194400965,58.20932944218794,1.317197506999413,2022-01-31,509250.92499999935,1.26700470588235,-79.05138339920946
2487,38.19980341536327,38.81495384615385,27.54838928565371,0.5629644491004129,55.161750861816614,57.90457158415081,1.2969691136423123,2022-02-01,837697.5049999994,1.1337282352941145,-61.264822134387344
2488,38.2721262295661,38.88101538461538,34.45322793148881,0.5548351611513525,56.60380850799245,57.77449527653497,1.270757034096433,2022-02-02,754143.8449999994,1.0120411764705892,-56.32411067193676
2489,38.34811651959948,38.945107692307694,42.81949934123846,0.5517158026596221,57.3134692107535,57.728392669956826,1.2492743888038305,2022-02-03,754143.8449999994,0.9613058823529386,-53.952569169960526
2490,38.36595371039952,38.94513846153846,40.77733860342553,0.48873948700189374,52.11283629022691,57.16683703198383,1.2571833610321284,2022-02-04,754143.8449999994,0.9804235294117589,-67.39130434782612
2491,38.38626496344572,38.94,37.597557555650795,0.437817991976587,52.45446551260111,56.695599880045556,1.209884549529834,2022-02-07,716451.1849999994,1.0724382352941149,-65.86345381526097
2492,38.456552273949896,38.97938461538461,42.609238687905645,0.4463801483872274,56.89238458721767,56.715278350762766,1.1806070817062744,2022-02-08,838685.4249999993,1.0392294117647012,-38.91752577319598
2493,38.53989440672298,39.02944615384615,60.83666343706951,0.4671467364766144,58.39062650578154,56.88281316626465,1.1405637187272553,2022-02-09,838685.4249999993,1.0214564705882339,-12.709030100334525
2494,38.588364067744294,39.045476923076926,72.29165772615242,0.44857757630190065,55.20509245654756,56.71504109529294,1.1426663102467371,2022-02-10,670954.8849999994,0.9353388235294062,-31.498470948012237
2495,38.64002837022551,39.06492307692308,75.68210719387417,0.43609658099348536,55.83623961327375,56.62716094709102,1.1392615738005423,2022-02-11,637425.3649999994,0.9474123529411784,-28.7461773700307
2496,38.733103110977396,39.126030769230766,76.35066258919464,0.46841378887443597,59.831807055093705,56.947625557891286,1.1278857471005035,2022-02-14,605585.5049999994,0.9860447058823496,-10.703363914373123
2497,38.8582490255176,39.22073846153846,82.27992229723226,0.5290792504464079,62.95199062991446,57.5480620650936,1.1226796223076105,2022-02-15,605585.5049999994,1.1099711764705944,-13.71069182389941
2498,38.97607602355471,39.31144615384615,87.5433231396534,0.5729729397071139,63.13340290362576,58.10659614894682,1.0960596492856385,2022-02-16,605585.5049999994,1.1125852941176504,-12.955974842767306
2499,39.12483940635819,39.43538461538461,83.94477317554237,0.6423144576212607,66.22096564287966,58.9180330983401,1.1327696743366644,2022-02-17,605585.5049999994,1.2791735294117643,-21.49901380670618
2500,39.2360056058691,39.52276923076923,76.83199724756112,0.6621995276950656,62.53327750039505,59.279557538545596,1.1211432690269025,2022-02-18,605585.5049999994,1.448026470588232,-35.04901960784314
2501,39.28785132849456,39.55569230769231,64.0754921297907,0.6175829925369953,56.012581303535946,58.95285991504463,1.1053473212392666,2022-02-22,605585.5049999994,1.509026470588232,-51.22549019607854
2502,39.298016610918054,39.55458461538461,50.163398692810425,0.5365007157887902,51.70208148878551,58.22778207241872,1.107815369722176,2022-02-23,605585.5049999994,1.33028264705883,-63.235294117647044
